Gender,Sector,Age,Vacc Period,Epi Day,Cohort,N_person,Rate_per_1K
female,Arab,80+,JanB,11/08/2021,12+,<5,0
female,Arab,80+,FebA,11/08/2021,2nd,1739,0.575043128
female,Arab,80+,FebA,11/08/2021,12+,<5,0
female,Arab,80+,FebB,11/08/2021,2nd,647,0
female,ultra-Orthodox Jews,60-69,JanB,11/08/2021,2nd,2070,0
female,ultra-Orthodox Jews,60-69,JanB,11/08/2021,12+,9,0
female,ultra-Orthodox Jews,60-69,FebA,11/08/2021,2nd,2300,0.434782609
female,ultra-Orthodox Jews,60-69,FebA,11/08/2021,12+,<5,0
female,ultra-Orthodox Jews,60-69,FebB,11/08/2021,2nd,814,0
female,ultra-Orthodox Jews,70-79,JanB,11/08/2021,2nd,1470,0
female,ultra-Orthodox Jews,70-79,JanB,11/08/2021,12+,18,0
female,ultra-Orthodox Jews,70-79,FebA,11/08/2021,2nd,1622,0
female,ultra-Orthodox Jews,70-79,FebA,11/08/2021,12+,<5,0
female,ultra-Orthodox Jews,70-79,FebB,11/08/2021,2nd,460,0
female,ultra-Orthodox Jews,80+,JanB,11/08/2021,2nd,1024,0
female,ultra-Orthodox Jews,80+,JanB,11/08/2021,12+,<5,0
female,ultra-Orthodox Jews,80+,FebA,11/08/2021,2nd,1076,0
female,ultra-Orthodox Jews,80+,FebA,11/08/2021,12+,<5,0
female,ultra-Orthodox Jews,80+,FebB,11/08/2021,2nd,239,0
male,General Jewish,60-69,JanB,11/08/2021,2nd,39907,0.02505826
male,General Jewish,60-69,JanB,11/08/2021,12+,905,0
male,General Jewish,60-69,FebA,11/08/2021,2nd,37567,0
male,General Jewish,60-69,FebA,11/08/2021,12+,85,0
male,General Jewish,60-69,FebB,11/08/2021,2nd,9593,0.104242677
male,General Jewish,60-69,FebB,11/08/2021,12+,7,0
male,General Jewish,70-79,JanB,11/08/2021,2nd,25311,0.039508514
male,General Jewish,70-79,JanB,11/08/2021,12+,766,0
male,General Jewish,70-79,FebA,11/08/2021,2nd,19817,0.050461725
male,General Jewish,70-79,FebA,11/08/2021,12+,54,0
male,General Jewish,70-79,FebB,11/08/2021,2nd,4112,0.243190661
male,General Jewish,70-79,FebB,11/08/2021,12+,6,0
male,General Jewish,80+,JanB,11/08/2021,2nd,13226,0.378043248
male,General Jewish,80+,JanB,11/08/2021,12+,249,0
male,General Jewish,80+,FebA,11/08/2021,2nd,11924,0.50318685
male,General Jewish,80+,FebA,11/08/2021,12+,19,0
male,General Jewish,80+,FebB,11/08/2021,2nd,2258,0
male,General Jewish,80+,FebB,11/08/2021,12+,<5,0
male,Arab,60-69,JanB,11/08/2021,2nd,4356,0
male,Arab,60-69,JanB,11/08/2021,12+,16,0
male,Arab,60-69,FebA,11/08/2021,2nd,7408,0
male,Arab,60-69,FebA,11/08/2021,12+,<5,0
male,Arab,60-69,FebB,11/08/2021,2nd,3221,0.310462589
male,Arab,70-79,JanB,11/08/2021,2nd,1913,0
male,Arab,70-79,JanB,11/08/2021,12+,12,0
male,Arab,70-79,FebA,11/08/2021,2nd,3458,0
male,Arab,70-79,FebA,11/08/2021,12+,<5,0
male,Arab,70-79,FebB,11/08/2021,2nd,1219,0
